,District,1. Population (female) age 6+ years who ever attended school (%),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),10. Households using iodized salt (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),25. Total unmet need (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),73. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),74. Women who are overweight or obese (BMI >=25.0 kg/m2) (%),75. Men who are overweight or obese (BMI >=25.0 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),80. Men age 15-49 years who are anaemic (<13.0 g/dl) (%),State,Region,Zone
750,Osmanabad,medium,low,medium,low,medium,high,high,high,medium,medium,high,low,high,high,medium,medium,high,high,low,medium,high,medium,medium,medium,high,low,low,low,MH,Rural,Western Zone
752,Solapur,high,high,medium,high,high,medium,high,high,high,medium,high,medium,high,high,high,high,medium,high,medium,low,low,low,low,high,high,low,medium,low,MH,Urban,Western Zone
753,Solapur,medium,low,low,medium,high,medium,medium,high,medium,high,high,low,high,high,medium,medium,medium,high,medium,medium,low,medium,medium,medium,high,medium,low,low,MH,Rural,Western Zone
755,Satara,high,high,medium,high,high,low,high,high,medium,medium,high,medium,high,medium,high,medium,medium,high,low,low,low,high,high,medium,high,medium,medium,low,MH,Rural,Western Zone
757,Ratnagiri,high,high,low,high,medium,low,high,high,medium,low,medium,high,high,high,high,high,high,high,medium,medium,low,high,high,medium,high,medium,medium,low,MH,Rural,Western Zone
764,Sangli,high,medium,medium,high,high,medium,high,high,high,medium,medium,low,medium,high,high,low,medium,high,low,low,low,medium,medium,high,high,medium,medium,low,MH,Rural,Western Zone
766,West Garo Hills,high,high,low,medium,low,high,high,low,medium,medium,low,medium,medium,low,low,low,low,high,high,high,low,low,low,low,medium,medium,high,high,ML,Rural,North Eastern Zone
768,East Garo Hills,high,high,low,medium,low,high,medium,low,medium,medium,low,high,low,medium,low,low,medium,medium,high,high,low,low,low,low,low,high,high,high,ML,Rural,North Eastern Zone
770,South Garo Hills,high,high,low,high,low,high,high,high,high,low,low,medium,medium,high,high,high,high,medium,high,high,low,low,low,medium,high,high,medium,high,ML,Rural,North Eastern Zone
772,West Khasi Hills,high,medium,low,high,low,high,high,high,low,medium,low,high,medium,medium,low,high,low,high,high,high,high,low,low,low,low,low,medium,medium,ML,Rural,North Eastern Zone
774,Ribhoi,high,high,low,medium,low,high,high,low,low,medium,low,high,medium,medium,low,medium,medium,high,high,high,high,low,medium,low,low,low,high,high,ML,Rural,North Eastern Zone
776,East Khasi Hills,high,low,medium,high,high,high,high,high,high,low,low,high,high,high,high,high,medium,high,high,high,low,low,medium,high,medium,low,low,low,ML,Urban,North Eastern Zone
777,East Khasi Hills,high,high,low,high,low,high,high,medium,medium,low,low,high,high,high,low,medium,medium,medium,high,high,high,low,low,medium,low,low,medium,medium,ML,Rural,North Eastern Zone
779,Jaintia Hills,high,high,low,medium,medium,high,high,low,low,medium,low,high,medium,high,low,medium,low,high,high,high,high,low,low,low,low,low,medium,high,ML,Rural,North Eastern Zone
781,Senapati,high,low,low,high,medium,high,high,high,medium,medium,low,high,medium,low,low,medium,low,high,high,high,medium,low,low,medium,high,low,low,low,MN,Rural,North Eastern Zone
783,Tamenglong,medium,high,low,high,low,high,medium,high,medium,low,low,high,low,low,low,low,low,high,high,high,medium,low,low,medium,low,low,low,low,MN,Rural,North Eastern Zone
785,Churachandpur,high,high,low,high,high,high,high,high,high,low,low,high,medium,medium,low,low,low,high,high,high,medium,low,low,high,medium,low,low,low,MN,Rural,North Eastern Zone
787,Bishnupur,high,medium,low,medium,high,high,high,high,high,low,low,high,high,high,medium,high,low,high,high,high,low,low,low,high,high,low,low,low,MN,Urban,North Eastern Zone
788,Bishnupur,high,medium,low,medium,medium,high,high,high,medium,low,low,high,high,high,medium,high,low,high,high,high,low,low,low,high,high,low,low,low,MN,Rural,North Eastern Zone
790,Thoubal,high,high,low,medium,high,high,high,high,high,low,low,high,high,high,medium,medium,low,high,high,high,low,low,low,high,high,low,low,low,MN,Urban,North Eastern Zone
791,Thoubal,high,medium,low,medium,medium,high,high,high,medium,low,low,high,high,high,low,medium,low,high,high,high,low,low,low,high,medium,low,low,low,MN,Rural,North Eastern Zone
793,Imphal West,high,high,low,medium,high,high,high,high,high,low,low,high,high,high,high,high,low,high,high,high,low,low,low,high,high,low,low,low,MN,Urban,North Eastern Zone
794,Imphal West,high,medium,low,medium,high,high,high,high,high,low,low,high,high,high,high,high,medium,high,high,high,low,low,low,high,high,low,low,low,MN,Rural,North Eastern Zone
796,Imphal East,high,low,low,medium,high,high,high,high,high,low,low,high,high,high,medium,high,low,high,high,high,low,low,low,high,high,low,low,low,MN,Urban,North Eastern Zone
797,Imphal East,high,high,low,medium,high,high,high,high,high,low,low,high,high,high,medium,high,low,high,high,high,low,low,low,high,high,low,low,low,MN,Rural,North Eastern Zone
799,Ukhrul,high,high,low,high,low,medium,high,high,high,medium,low,high,low,low,low,low,low,high,high,high,medium,low,low,low,low,low,low,low,MN,Rural,North Eastern Zone
801,Chandel,high,medium,low,high,medium,high,high,high,high,low,low,high,medium,medium,low,medium,low,high,high,high,medium,low,low,high,medium,low,low,low,MN,Rural,North Eastern Zone
803,Sheopur,low,medium,medium,low,low,medium,low,low,low,high,high,medium,low,medium,medium,low,medium,medium,low,low,high,high,high,low,low,high,high,high,MP,Rural,Central Zone
805,Morena,low,high,medium,low,low,low,low,medium,low,medium,high,medium,medium,low,high,medium,medium,medium,low,low,high,high,high,low,low,medium,medium,high,MP,Rural,Central Zone
807,Bhind,low,low,medium,low,low,low,low,medium,medium,high,high,medium,low,medium,medium,low,medium,medium,low,low,high,high,high,medium,medium,high,high,high,MP,Rural,Central Zone
809,Gwalior,high,low,high,high,high,high,high,medium,high,low,medium,medium,medium,medium,high,low,medium,low,low,low,medium,medium,medium,medium,medium,high,medium,high,MP,Urban,Central Zone
810,Gwalior,low,medium,medium,medium,medium,medium,low,low,low,high,medium,medium,low,medium,medium,low,medium,low,low,low,high,medium,high,low,low,high,high,high,MP,Rural,Central Zone
812,Datia,low,low,medium,low,low,low,low,low,low,high,high,medium,low,low,medium,low,low,low,medium,low,high,high,high,low,low,high,high,high,MP,Rural,Central Zone
814,Shivpuri,low,high,low,low,low,low,low,low,low,high,high,medium,low,low,medium,medium,medium,medium,medium,medium,high,high,high,low,low,high,medium,medium,MP,Rural,Central Zone
816,Tikamgarh,low,medium,low,low,low,low,low,medium,low,high,medium,medium,low,low,medium,low,low,medium,low,low,high,high,high,low,low,high,low,medium,MP,Rural,Central Zone
818,Chhatarpur,low,low,low,low,low,low,low,medium,low,high,medium,medium,low,low,medium,low,low,medium,high,medium,high,high,high,low,low,high,medium,medium,MP,Rural,Central Zone
820,Panna,low,low,low,low,low,low,low,low,low,high,medium,high,low,low,low,low,low,low,high,high,high,medium,high,low,low,high,medium,low,MP,Rural,Central Zone
822,Sagar,medium,low,low,low,low,low,low,medium,low,high,medium,medium,low,medium,medium,low,low,low,medium,medium,medium,medium,high,medium,low,high,low,low,MP,Rural,Central Zone
824,Damoh,low,medium,low,low,low,low,low,medium,low,high,low,medium,low,medium,low,low,low,medium,medium,medium,high,high,high,low,low,high,medium,medium,MP,Rural,Central Zone
826,Satna,medium,high,medium,low,low,low,medium,high,low,high,medium,medium,low,low,medium,low,medium,low,low,low,high,medium,high,medium,low,high,medium,high,MP,Rural,Central Zone
828,Rewa,medium,medium,low,low,low,low,medium,medium,low,high,high,medium,low,low,medium,low,medium,medium,low,low,medium,medium,high,medium,medium,medium,low,medium,MP,Rural,Central Zone
830,Umaria,low,high,low,low,low,low,low,low,low,high,medium,medium,low,low,medium,medium,medium,medium,medium,medium,medium,high,high,low,low,high,high,high,MP,Rural,Central Zone
832,Neemuch,low,low,low,low,medium,medium,low,medium,low,high,low,medium,medium,medium,medium,low,medium,low,medium,medium,medium,high,low,medium,medium,high,medium,medium,MP,Rural,Central Zone
834,Mandsaur,low,low,low,low,medium,medium,low,medium,low,high,low,medium,low,low,medium,low,medium,medium,low,low,medium,high,high,low,medium,medium,medium,medium,MP,Rural,Central Zone
836,Ratlam,low,medium,low,low,medium,low,low,medium,low,high,low,medium,low,low,medium,low,medium,low,medium,medium,high,high,high,low,low,high,medium,medium,MP,Rural,Central Zone
838,Ujjain,high,medium,high,high,high,high,high,high,high,medium,medium,high,medium,medium,high,medium,high,low,medium,medium,medium,medium,medium,high,high,high,medium,low,MP,Urban,Central Zone
839,Ujjain,low,high,medium,medium,medium,medium,low,medium,low,high,low,medium,low,low,medium,medium,medium,low,medium,medium,medium,high,high,low,low,high,medium,medium,MP,Rural,Central Zone
841,Shajapur,low,medium,low,low,low,medium,low,medium,low,high,medium,medium,medium,medium,high,medium,low,low,low,low,high,high,high,low,medium,high,medium,high,MP,Rural,Central Zone
843,Dewas,low,high,medium,medium,medium,high,low,medium,low,high,high,medium,medium,medium,high,medium,medium,low,high,high,high,high,medium,low,medium,high,medium,medium,MP,Rural,Central Zone
845,Dhar,low,medium,low,low,medium,medium,low,low,low,high,medium,low,low,low,medium,medium,medium,low,high,high,high,high,high,low,medium,high,medium,medium,MP,Rural,Central Zone
847,Indore,high,low,high,high,high,high,high,high,high,low,high,medium,high,high,high,medium,medium,low,high,high,medium,low,medium,high,high,high,medium,medium,MP,Urban,Central Zone
849,Khargone (West Nimar),low,high,medium,low,medium,high,low,low,low,medium,high,low,medium,medium,low,medium,high,low,medium,medium,high,high,high,low,low,high,high,high,MP,Rural,Central Zone
851,Barwani,low,low,low,low,low,medium,low,low,low,high,medium,low,low,medium,low,low,low,medium,low,low,high,high,high,low,low,high,high,high,MP,Rural,Central Zone
853,Rajgarh,low,high,low,low,low,medium,low,low,low,high,medium,medium,medium,low,medium,low,low,medium,low,low,medium,high,high,low,low,medium,medium,low,MP,Rural,Central Zone
855,Vidisha,medium,high,medium,low,low,low,low,low,low,high,low,high,low,low,low,low,low,medium,medium,medium,high,medium,high,medium,low,high,low,medium,MP,Rural,Central Zone
857,Bhopal,high,medium,medium,high,high,high,high,high,high,low,medium,high,medium,high,high,medium,medium,low,medium,medium,high,medium,medium,high,high,high,medium,medium,MP,Urban,Central Zone
859,Sehore,low,medium,low,medium,low,medium,low,medium,low,high,high,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,high,medium,medium,high,medium,medium,MP,Rural,Central Zone
861,Raisen,medium,medium,medium,medium,low,low,low,low,low,high,high,low,medium,medium,medium,high,high,medium,low,low,high,high,high,low,low,high,medium,medium,MP,Rural,Central Zone
863,Betul,medium,low,low,low,low,medium,medium,low,medium,low,high,low,low,medium,low,medium,medium,medium,medium,medium,medium,high,medium,low,low,medium,medium,high,MP,Rural,Central Zone
865,Harda,low,low,low,medium,medium,high,low,low,low,medium,medium,low,medium,medium,medium,low,high,low,low,low,medium,medium,high,medium,medium,high,medium,high,MP,Rural,Central Zone
867,Hoshangabad,high,high,high,high,high,high,high,high,high,low,medium,medium,medium,high,high,medium,high,low,low,low,low,low,low,high,medium,high,medium,high,MP,Urban,Central Zone
868,Hoshangabad,medium,medium,medium,medium,medium,high,medium,medium,low,medium,high,low,medium,medium,medium,low,medium,medium,low,low,medium,medium,medium,low,low,high,medium,high,MP,Rural,Central Zone
870,Katni,medium,high,medium,low,low,low,medium,low,low,medium,medium,low,low,medium,medium,low,high,medium,high,high,high,high,medium,medium,medium,high,medium,medium,MP,Rural,Central Zone
872,Jabalpur,high,low,high,high,high,medium,high,high,high,low,high,medium,high,high,high,medium,medium,medium,medium,medium,low,medium,medium,high,high,medium,low,medium,MP,Urban,Central Zone
873,Jabalpur,medium,high,medium,low,low,low,medium,medium,low,medium,high,low,medium,medium,medium,high,high,high,medium,medium,high,high,high,medium,medium,medium,medium,medium,MP,Rural,Central Zone
875,Narsimhapur,medium,low,medium,medium,low,medium,medium,medium,low,high,medium,low,low,medium,medium,low,medium,low,medium,medium,medium,medium,high,medium,medium,high,medium,low,MP,Rural,Central Zone
877,Dindori,low,medium,low,low,low,low,low,low,low,high,high,low,low,low,low,low,medium,medium,low,low,high,high,high,low,low,high,high,high,MP,Rural,Central Zone
879,Mandla,low,medium,low,low,low,low,low,low,low,medium,high,low,medium,medium,low,low,medium,high,low,low,medium,high,high,low,low,high,high,high,MP,Rural,Central Zone
881,Chhindwara,medium,medium,low,low,low,medium,medium,low,medium,medium,high,low,medium,high,medium,medium,high,medium,high,medium,medium,high,medium,medium,low,high,medium,medium,MP,Rural,Central Zone
883,Seoni,medium,medium,low,low,low,low,medium,low,low,medium,high,low,medium,high,medium,low,medium,medium,high,high,medium,high,high,low,medium,medium,medium,medium,MP,Rural,Central Zone
885,Balaghat,high,high,low,low,low,medium,medium,medium,medium,low,high,low,medium,medium,medium,medium,medium,high,low,low,medium,high,high,low,low,high,high,high,MP,Rural,Central Zone
887,Guna,low,high,low,low,low,low,low,low,low,high,high,medium,low,medium,medium,medium,medium,medium,low,low,medium,high,high,low,low,high,low,low,MP,Rural,Central Zone
889,Ashoknagar,low,medium,medium,low,low,low,low,low,low,high,high,medium,medium,low,medium,low,medium,low,medium,medium,medium,high,high,low,low,medium,low,medium,MP,Rural,Central Zone
891,Shahdol,low,medium,low,low,low,low,low,medium,low,high,medium,medium,low,medium,low,low,medium,high,medium,medium,medium,high,high,low,low,high,high,high,MP,Rural,Central Zone
893,Anuppur,low,low,low,low,low,low,low,low,low,high,medium,medium,low,medium,medium,low,medium,medium,medium,medium,medium,high,high,low,low,high,high,high,MP,Rural,Central Zone
895,Sidhi,medium,low,low,low,low,low,low,medium,low,high,low,high,low,low,low,low,low,medium,medium,medium,high,medium,high,low,low,high,medium,medium,MP,Rural,Central Zone
897,Singrauli,low,high,low,low,low,low,low,low,low,high,low,medium,low,low,low,low,low,medium,high,high,medium,medium,medium,low,low,medium,medium,high,MP,Rural,Central Zone
899,Jhabua,low,high,low,low,low,low,low,low,low,high,low,medium,low,medium,medium,low,low,low,medium,medium,high,high,high,low,low,high,high,high,MP,Rural,Central Zone
901,Alirajpur,low,medium,medium,low,low,low,low,low,low,high,low,low,low,low,low,low,medium,low,low,low,high,high,high,low,low,high,high,high,MP,Rural,Central Zone
903,Khandwa (East Nimar),low,low,low,low,medium,medium,low,low,low,medium,high,low,medium,medium,medium,low,high,low,low,low,high,high,high,low,low,high,high,medium,MP,Rural,Central Zone
905,Burhanpur,high,low,high,medium,high,high,high,low,high,low,high,medium,medium,medium,high,medium,medium,medium,low,low,medium,medium,medium,high,high,high,high,high,MP,Urban,Central Zone
906,Burhanpur,low,medium,medium,medium,medium,high,low,low,low,medium,high,low,medium,medium,low,low,medium,medium,low,low,high,high,high,low,low,high,high,high,MP,Rural,Central Zone
909,Mamit,high,medium,low,high,medium,medium,high,high,low,medium,low,high,medium,high,low,low,medium,high,medium,low,low,low,low,medium,medium,low,low,low,MZ,Rural,North Eastern Zone
911,Kolasib,high,high,high,high,high,high,high,high,high,low,low,medium,high,high,high,medium,high,high,high,high,low,low,low,high,high,low,low,low,MZ,Urban,North Eastern Zone
912,Kolasib,high,high,medium,high,high,medium,high,high,low,medium,low,high,medium,high,low,low,medium,high,high,high,medium,low,low,medium,low,low,low,medium,MZ,Rural,North Eastern Zone
914,Aizwal,high,medium,medium,high,high,high,high,high,high,low,medium,high,high,high,high,low,high,high,high,high,low,low,low,high,high,low,low,low,MZ,Urban,North Eastern Zone
917,Champhai,high,high,high,high,high,high,high,high,high,low,low,high,high,high,high,low,high,high,high,high,low,low,low,high,high,low,low,low,MZ,Urban,North Eastern Zone
918,Champhai,high,medium,medium,high,medium,high,high,high,low,medium,low,high,medium,high,medium,low,high,high,high,high,medium,low,low,medium,medium,low,low,low,MZ,Rural,North Eastern Zone
920,Serchhip,high,medium,high,high,high,high,high,high,high,low,medium,high,high,high,high,medium,high,high,high,high,low,low,low,high,medium,low,low,low,MZ,Urban,North Eastern Zone
921,Serchhip,high,high,medium,high,medium,high,high,high,low,low,medium,high,medium,high,medium,medium,high,high,high,high,low,low,low,low,medium,low,low,low,MZ,Rural,North Eastern Zone
923,Lunglei,high,low,high,high,high,high,high,high,high,low,low,high,high,high,high,low,high,high,high,high,low,low,low,high,high,low,low,medium,MZ,Urban,North Eastern Zone
924,Lunglei,high,medium,medium,high,medium,high,high,high,low,medium,low,high,low,medium,low,low,medium,high,high,medium,low,low,low,medium,medium,low,low,medium,MZ,Rural,North Eastern Zone
927,Lawngtlai,medium,high,low,high,medium,high,medium,high,low,medium,low,high,low,high,low,low,low,high,medium,medium,medium,low,low,low,medium,low,low,medium,MZ,Rural,North Eastern Zone
929,Saiha,high,high,medium,high,high,high,high,high,high,low,medium,high,medium,high,high,low,medium,high,low,low,low,low,low,medium,medium,low,low,medium,MZ,Urban,North Eastern Zone
930,Saiha,high,low,medium,high,medium,high,high,high,medium,low,low,high,medium,high,low,medium,high,high,high,medium,high,low,low,low,low,low,low,low,MZ,Rural,North Eastern Zone
932,Mon,medium,low,low,high,low,high,medium,low,low,low,low,high,low,low,low,low,low,high,high,high,medium,low,low,low,high,low,low,low,NL,Rural,North Eastern Zone
936,Zunheboto,high,low,medium,high,low,high,high,medium,medium,low,low,high,low,low,low,low,low,high,high,high,low,low,low,medium,low,low,low,low,NL,Rural,North Eastern Zone
938,Wokha,high,medium,low,high,medium,high,high,high,medium,medium,low,high,low,low,low,low,low,high,high,high,low,low,low,low,medium,low,low,high,NL,Rural,North Eastern Zone
940,Dimapur,high,high,low,high,high,high,high,high,high,low,low,high,low,low,low,low,low,medium,high,high,low,low,low,high,medium,low,low,low,NL,Urban,North Eastern Zone
941,Dimapur,high,high,low,high,high,high,high,medium,medium,medium,low,high,low,low,low,low,low,medium,high,high,low,low,medium,high,medium,low,low,low,NL,Rural,North Eastern Zone
943,Phek,high,high,medium,high,low,high,medium,medium,low,low,low,high,low,low,low,low,low,medium,high,high,low,low,low,medium,low,low,low,low,NL,Rural,North Eastern Zone
945,Tuensang,high,high,medium,high,low,high,medium,low,low,low,low,high,low,low,low,low,low,high,high,medium,medium,low,low,low,low,low,low,low,NL,Rural,North Eastern Zone
947,Longleng,high,low,low,high,low,high,medium,medium,low,medium,low,medium,low,low,low,low,low,high,high,high,low,low,low,low,low,low,low,low,NL,Rural,North Eastern Zone
949,Kiphire,high,medium,medium,high,low,high,medium,low,low,low,low,high,low,low,low,low,low,medium,high,high,high,low,low,low,low,low,low,low,NL,Rural,North Eastern Zone
951,Kohima,high,high,low,high,high,high,high,high,high,low,low,high,medium,low,low,medium,low,medium,high,high,low,low,medium,high,high,low,low,low,NL,Urban,North Eastern Zone
952,Kohima,high,high,low,high,medium,high,high,medium,medium,low,low,high,low,low,low,medium,low,high,high,high,low,low,low,medium,high,low,low,low,NL,Rural,North Eastern Zone
954,Peren,high,medium,low,high,low,high,medium,medium,low,medium,low,high,low,low,low,low,low,medium,high,high,low,low,low,medium,low,low,low,low,NL,Rural,North Eastern Zone
956,Bargarh,medium,medium,medium,low,low,high,medium,medium,medium,low,medium,low,medium,high,high,high,high,high,low,low,medium,high,low,medium,medium,high,high,high,OR,Rural,Eastern Zone
958,Jharsuguda,high,medium,medium,medium,high,high,high,high,high,low,high,low,high,high,high,medium,high,high,medium,medium,low,medium,low,high,high,medium,high,high,OR,Urban,Eastern Zone
959,Jharsuguda,medium,high,medium,medium,low,medium,medium,medium,medium,low,high,low,high,high,high,high,high,high,high,high,medium,high,high,low,low,high,high,high,OR,Rural,Eastern Zone
961,Sambalpur,medium,high,low,low,low,medium,medium,medium,low,low,medium,medium,high,high,medium,high,medium,high,medium,low,high,high,high,low,medium,high,high,high,OR,Rural,Eastern Zone
963,Debagarh,medium,high,low,medium,low,low,medium,low,medium,medium,low,high,medium,medium,medium,medium,high,high,medium,medium,medium,high,medium,low,low,low,low,high,OR,Rural,Eastern Zone
965,Sundargarh,high,high,medium,high,high,high,high,medium,high,low,medium,medium,high,high,high,high,high,high,high,high,medium,medium,medium,high,high,medium,high,high,OR,Urban,Eastern Zone
966,Sundargarh,medium,high,medium,low,low,medium,medium,medium,medium,low,medium,low,high,high,medium,high,medium,high,high,high,medium,high,low,low,low,high,high,high,OR,Rural,Eastern Zone
968,Kendujhar,low,low,low,low,low,low,medium,medium,medium,medium,low,high,medium,high,medium,high,high,high,medium,medium,high,high,medium,low,medium,low,low,medium,OR,Rural,Eastern Zone
970,Mayurbhanj,low,high,low,low,low,low,low,low,medium,high,low,medium,high,medium,medium,high,high,high,medium,medium,high,high,medium,low,medium,low,low,medium,OR,Rural,Eastern Zone
972,Baleshwar,high,medium,high,medium,low,low,high,high,medium,medium,low,high,medium,low,high,high,medium,high,low,low,medium,medium,low,medium,high,low,low,medium,OR,Rural,Eastern Zone
974,Bhadrak,high,medium,high,low,low,medium,high,high,medium,low,low,high,low,medium,medium,high,high,high,medium,medium,medium,high,medium,medium,high,low,low,medium,OR,Rural,Eastern Zone
976,Kendrapara,high,high,high,low,medium,medium,high,low,medium,low,medium,medium,medium,medium,high,high,medium,high,high,high,low,medium,high,medium,low,low,low,high,OR,Rural,Eastern Zone
978,Jagatsinghapur,high,medium,high,medium,low,high,high,high,high,low,medium,medium,high,high,high,high,high,high,high,high,low,low,medium,high,high,low,low,low,OR,Rural,Eastern Zone
980,Cuttack,high,high,medium,medium,medium,low,high,high,medium,low,medium,medium,medium,medium,high,high,high,high,medium,medium,low,medium,medium,high,high,low,low,medium,OR,Rural,Eastern Zone
982,Jajapur,high,low,medium,medium,medium,high,high,high,medium,low,medium,medium,medium,high,high,high,high,high,high,high,low,medium,medium,medium,low,low,low,medium,OR,Rural,Eastern Zone
984,Dhenkanal,medium,high,low,low,medium,high,medium,medium,medium,medium,medium,low,high,medium,high,high,medium,high,medium,medium,low,medium,medium,medium,medium,low,low,high,OR,Rural,Eastern Zone
986,Anugul,medium,low,low,medium,medium,low,medium,medium,medium,medium,medium,low,high,medium,high,high,medium,high,medium,medium,medium,medium,medium,medium,medium,low,low,high,OR,Rural,Eastern Zone
988,Nayagarh,high,low,low,medium,medium,low,high,medium,low,medium,medium,medium,medium,medium,high,high,high,high,medium,medium,low,low,medium,high,high,low,low,medium,OR,Rural,Eastern Zone
990,Khordha,high,high,medium,high,high,medium,high,high,high,medium,medium,medium,medium,medium,medium,medium,high,high,low,medium,low,low,low,high,high,low,low,low,OR,Urban,Eastern Zone
991,Khordha,high,low,low,low,medium,low,high,medium,medium,low,medium,medium,medium,medium,high,high,high,high,high,high,low,medium,low,high,high,low,medium,low,OR,Rural,Eastern Zone
993,Puri,high,medium,medium,medium,medium,high,high,high,medium,low,high,medium,high,high,high,high,high,high,high,high,low,low,low,high,high,low,low,low,OR,Rural,Eastern Zone
995,Ganjam,medium,low,medium,medium,medium,low,low,medium,low,high,medium,high,medium,medium,high,medium,low,high,low,low,low,medium,medium,medium,medium,low,low,high,OR,Rural,Eastern Zone
997,Gajapati,low,low,low,medium,low,low,low,low,low,medium,medium,low,medium,medium,low,low,low,high,low,low,medium,medium,medium,low,medium,medium,high,high,OR,Rural,Eastern Zone
999,Kandhamal,low,high,low,low,low,medium,low,medium,low,medium,medium,low,medium,high,low,high,high,high,high,high,medium,high,medium,low,low,low,medium,high,OR,Rural,Eastern Zone
1001,Baudh,medium,high,medium,low,low,low,medium,medium,low,medium,medium,low,high,high,medium,high,medium,high,medium,medium,medium,high,medium,low,medium,low,medium,high,OR,Rural,Eastern Zone
1003,Subarnapur,medium,high,medium,low,low,high,medium,medium,medium,medium,medium,medium,high,high,high,high,high,high,high,high,high,high,medium,medium,medium,high,high,high,OR,Rural,Eastern Zone
1005,Balangir,medium,high,medium,low,low,high,medium,medium,low,low,medium,low,high,high,high,high,low,high,medium,medium,high,high,medium,low,low,high,high,high,OR,Rural,Eastern Zone
1007,Nuapada,low,high,medium,low,low,high,low,low,low,medium,medium,low,high,high,medium,high,medium,high,low,low,medium,high,high,low,low,medium,high,high,OR,Rural,Eastern Zone
1009,Kalahandi,low,low,medium,low,low,medium,low,low,low,medium,medium,low,medium,medium,medium,high,high,high,low,low,medium,high,high,low,low,high,high,high,OR,Rural,Eastern Zone
1011,Rayagada,low,high,medium,low,low,low,low,low,low,high,medium,low,medium,high,low,high,high,high,high,high,high,high,high,low,low,medium,medium,high,OR,Rural,Eastern Zone
1013,Nabarangapur,low,high,high,low,low,low,low,low,low,high,medium,low,high,medium,low,high,high,high,high,high,high,high,high,low,low,high,high,high,OR,Rural,Eastern Zone
1015,Koraput,low,medium,low,low,low,low,low,low,low,high,medium,low,medium,medium,low,medium,medium,high,low,low,high,high,high,low,low,high,high,high,OR,Rural,Eastern Zone
1017,Malkangiri,low,medium,medium,low,low,low,low,low,low,high,medium,medium,high,high,low,high,medium,high,high,high,high,high,high,low,low,high,high,high,OR,Rural,Eastern Zone
1019,Gurdaspur,high,low,high,high,high,medium,high,high,high,low,high,low,high,high,medium,high,high,low,low,low,low,low,medium,high,medium,high,medium,medium,PB,Rural,Northern Zone
1021,Kapurthala,high,low,high,high,high,high,high,medium,high,low,high,low,high,high,medium,high,high,medium,medium,medium,low,low,low,high,high,medium,medium,high,PB,Urban,Northern Zone
1024,Jalandhar,high,low,high,high,high,high,high,high,high,low,high,low,high,high,high,high,high,low,low,low,low,low,low,high,high,medium,medium,low,PB,Urban,Northern Zone
1027,Hoshiarpur,high,low,high,high,high,high,high,low,high,low,high,low,high,medium,high,high,medium,low,medium,medium,low,low,low,high,high,medium,high,high,PB,Rural,Northern Zone
1030,Shahid Bhagat Singh Nagar,high,high,high,high,high,high,high,high,high,low,medium,medium,high,high,high,high,high,low,medium,medium,low,low,low,high,high,high,high,high,PB,Rural,Northern Zone
1032,Fatehgarh Sahib,high,low,high,high,high,medium,high,high,high,low,high,low,high,medium,high,high,high,low,low,medium,low,low,low,high,high,medium,high,high,PB,Urban,Northern Zone
1033,Fatehgarh Sahib,high,high,high,high,high,medium,high,high,high,low,high,low,medium,high,high,high,high,medium,low,low,low,low,low,high,high,medium,medium,high,PB,Rural,Northern Zone
1038,Moga,medium,high,high,high,high,high,high,medium,high,low,high,low,high,medium,high,high,high,medium,medium,medium,low,low,low,high,high,low,medium,medium,PB,Rural,Northern Zone
1040,Firozpur,medium,high,high,high,high,high,medium,medium,medium,low,high,low,high,medium,medium,high,medium,low,low,low,low,low,low,high,high,low,high,medium,PB,Rural,Northern Zone
1042,Muktsar,medium,low,high,high,high,high,medium,medium,high,low,high,low,high,high,high,high,high,medium,low,low,low,low,medium,high,high,medium,low,medium,PB,Rural,Northern Zone
1044,Faridkot,high,medium,medium,high,high,high,high,high,high,low,high,low,high,high,high,high,high,medium,medium,medium,medium,low,low,medium,medium,medium,low,high,PB,Urban,Northern Zone
1045,Faridkot,medium,medium,high,high,high,medium,high,low,high,low,high,low,high,high,high,high,high,medium,low,low,medium,low,low,high,medium,medium,low,high,PB,Rural,Northern Zone
